,Drug,Food Constituent,DDI2013,POMELO,FIDEO
1,zalcitabine,magnesium,DDI2013,NA,NA
2,zalcitabine,aluminum,DDI2013,NA,NA
3,grepafloxacin,theobromine,DDI2013,NA,NA
4,norfloxacin,iron,DDI2013,NA,NA
5,ciprofloxacin,aluminum,DDI2013,NA,NA
6,ciprofloxacin,magnesium,DDI2013,NA,NA
7,phenelzine,tetradecanoic acid,NA,pomelo,fideo
8,cyclosporine,sodium,NA,pomelo,fideo
9,levothyroxine,d-glucose,NA,pomelo,fideo
10,clozapine,arginine,NA,pomelo,NA
11,clozapine,d-fructose,NA,pomelo,NA
12,clozapine,oleic acid,NA,pomelo,NA
13,clozapine,l-ascorbic acid,NA,pomelo,NA
14,clozapine,l-serine,NA,pomelo,NA
15,clozapine,l-proline,NA,pomelo,NA
16,clozapine,(s)-naringenin,NA,pomelo,NA
17,clozapine,epsilon-polylysine,NA,pomelo,NA
18,clozapine,d-glucose,NA,pomelo,NA
19,clozapine,(e)-2-phenyl-2-butenal,NA,pomelo,NA
20,clozapine,hexadecanoic acid,NA,pomelo,NA
21,clozapine,l-leucine,NA,pomelo,NA
22,clozapine,d-aspartic acid,NA,pomelo,NA
23,fluvoxamine,d-aspartic acid,NA,pomelo,fideo
24,warfarin,l-lysine,NA,pomelo,fideo
25,warfarin,retinol,NA,pomelo,fideo
26,warfarin,citric acid,NA,pomelo,NA
27,warfarin,d-glucose,NA,pomelo,fideo
28,warfarin,l-isoleucine,NA,pomelo,fideo
29,warfarin,l-tyrosine,NA,pomelo,fideo
30,warfarin,potassium,NA,pomelo,fideo
31,warfarin,sulfur,NA,pomelo,fideo
32,warfarin,glycine,NA,pomelo,fideo
33,warfarin,d-fructose,NA,pomelo,fideo
34,warfarin,calcium,NA,pomelo,fideo
35,fexofenadine,l-lysine,NA,pomelo,NA
36,fexofenadine,d-glucose,NA,pomelo,fideo
37,fexofenadine,potassium,NA,pomelo,fideo
38,fexofenadine,oxalic acid,NA,pomelo,NA
